,username,tweet,hashtags,label,labeled_tweet
0,patriot_1952,"The Trump administration is rescinding an Obama-era ban on the federal government providing financing for civilian nuclear energy projects abroad. 
The new policy is geared toward promoting smaller and cheaper advanced nuclear reactors under development in the U.S",[],"{'neg': 0.081, 'neu': 0.769, 'pos': 0.149, 'compound': 0}",neu
1,realnathancain,Support #Nuclear Energy ⚛️,['#nuclear'],"{'neg': 0.0, 'neu': 0, 'pos': 0.615, 'compound': 0}",pos
2,iam__network,"Decrease in Renewable Energy Costs May Serve as an Accelerator for Clean Energy Expansion | | SBU 

READ MORE:  https://blog.iammarketingmedia.com/decrease-in-renewable-energy-costs-may-serve-as-an-accelerator-for-clean-energy-expansion-sbu-news/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills pic.twitter.com/QhiCn0bVCV","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0}",neu
3,holtecintl,"Holtec Highlights: Portable Robot Successfully Deployed to Make Multi-Purpose Canister Lid Closure Welds #nuclear #NuclearEnergy #manufacturers #Invention
 https://holtecinternational.com/2020/06/12/hi-brian/ … pic.twitter.com/517trLz92f","['#nuclear', '#nuclearenergy', '#manufacturers', '#invention']","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0}",neu
4,iam__network,"NY saw little progress toward renewable energy goals in 2019 

READ MORE:  https://blog.iammarketingmedia.com/ny-saw-little-progress-toward-renewable-energy-goals-in-2019/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills~ pic.twitter.com/2FVRNfEBVR","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0}",neu
5,jerrynature,"MIT News: Paper in Applied Energy: A layered approach to safety  http://news.mit.edu/2020/layered-approach-safety-koroush-shirvan-0611#.XuPfFYSXeFQ.twitter …
#AppliedEnergy #3Dprinting #NuclearEnergy #MIT","['#appliedenergy', '#3dprinting', '#nuclearenergy', '#mit']","{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0}",neu
6,uknuclearenergy,GB Grid: #Nuclear is generating 4.37GW (16.06%) out of 27.24GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
7,drantoniserrat1,"Make China pay. They covered Wuhan 2019 outbreak and we have evidence they did in Yunnan in 2012. No new outbreak nor lab incident should go under cover undeclared. This is the first end goal. International Biosecurity Agency to be set up, same as for Nuclear Energy. @SecAzar",[],"{'neg': 0.071, 'neu': 0.888, 'pos': 0.041, 'compound': 0}",neu
8,energyfairness,"U.S. proposes lifting restrictions on financing advanced #nuclear energy projects abroad, to help the industry better compete with China & Russia  https://tinyurl.com/yaozlflj  @VOANews",['#nuclear'],"{'neg': 0.0, 'neu': 0, 'pos': 0.338, 'compound': 0}",pos
9,pliesker,Coal is still TransAlta's main energy source; especially here in Alberta. I understand it has a 'strategy' to phase this out; largely replacing it by natural gas. Has Transalta condidered nuclear energy as an option? Ontario is very successful with that.,[],"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0}",neu
